Date,Value
2017-09-15,4.71
2017-09-16,4.37
2017-09-17,0.4
2017-09-18,5.029999999999999
2017-09-19,3.4000000000000004
2017-09-20,46.93
2017-09-21,55.550000000000004
2017-09-22,5.82
2017-09-23,7.4
2017-09-24,1.4
2017-09-25,0.89
2017-09-26,0.42
