Date,Max_Avg_Temp,Min_Avg_Temp
2017-09-15,85.25,71.0
2017-09-16,86.75,69.75
2017-09-17,86.5,70.75
2017-09-18,86.25,71.0
2017-09-19,86.25,71.5
2017-09-20,82.5,70.5
2017-09-21,80.0,68.0
2017-09-22,79.0,66.0
2017-09-23,79.0,67.0
2017-09-24,75.0,68.0
2017-09-25,79.0,68.0
2017-09-26,81.0,67.0
