Date,MaxTemp,MinTemp
2005-08-24,95.0,72.0
2005-08-25,94.0,75.0
2005-08-26,92.0,76.0
2005-08-27,94.0,75.0
2005-08-28,94.0,75.0
2005-08-29,91.0,71.0
2005-08-30,87.0,73.0
2005-08-31,90.0,75.0
2005-09-01,94.0,75.0
2005-09-02,92.0,74.0
2005-09-03,92.0,72.0
2005-09-04,93.0,71.0
